feature,group,mean,median,std,n
total_clicks,Success,59.096772830679235,26.0,92.59736274931417,307700
total_clicks,At-Risk,17.063081125058112,0.0,50.30196181903111,344160
active_days,Success,2.6549203769905754,2.0,2.1028668876598124,307700
active_days,At-Risk,0.8721786378428638,0.0,1.5481280285292112,344160
days_since_last,Success,4.027669808254793,1.0,7.815673756569029,307700
days_since_last,At-Risk,35.82141736401674,18.0,39.787514065447105,344160
weekly_streak,Success,5.22043223919402,3.0,5.317266658571111,307700
weekly_streak,At-Risk,1.4574180613668062,0.0,3.088555032674337,344160
click_cv,Success,0.4867342335335209,0.47140452079103173,0.468221919694916,307700
click_cv,At-Risk,0.16723440056571148,0.0,0.36044564756692116,344160
activity_entropy,Success,0.8171648341814961,0.9489254171100732,0.5585906853390303,307700
activity_entropy,At-Risk,0.3195088432690224,0.0,0.5306560281789622,344160
content_assess_ratio,Success,0.8261725381545645,1.0,0.24962498921730142,307700
content_assess_ratio,At-Risk,0.6376023646493043,0.5,0.23084869033377334,344160
submission_timeliness,Success,1.1740015707940634,0.3333333333333333,5.826400347268567,307700
submission_timeliness,At-Risk,-10.074896379867614,-1.6666666666666667,15.8706785929382,344160
assess_completion,Success,0.983092320906263,1.0,0.09078317105397403,307700
assess_completion,At-Risk,0.5557734221071041,0.6666666666666666,0.450827581720837,344160
click_trend_slope,Success,-0.9214527136821593,0.0,45.130505352088676,307700
click_trend_slope,At-Risk,-1.3582330892608092,0.0,24.588330606749217,344160
wow_change,Success,0.37337610029184487,0.0,1.5893331814654335,307700
wow_change,At-Risk,0.0947391571179035,0.0,1.066517868262659,344160
